,chembl_id,value,smiles
128,CHEMBL1688834,49.0,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)NCCCO/N=C(\C(=O)N[C@@H]4C(=O)N5C(C(=O)[O-])=C(C[n+]6ccccc6)CS[C@H]45)c4nc(N)sc4Cl)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O
129,CHEMBL1713,99.82,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl
130,CHEMBL1741,71.3,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
131,CHEMBL175247,1.0,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
132,CHEMBL175691,99.7,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1
133,CHEMBL1761510,91.0,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCCNC3)c[nH]c12
134,CHEMBL1761688,75.0,CC(C)NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1
135,CHEMBL1761691,88.2,O=C(N[C@@H]1CCC[C@H](O)C1)c1noc(-c2ccc(C(F)(F)F)cc2)c1CNC1CC1
136,CHEMBL1761693,82.3,CC(C)CNCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1
137,CHEMBL1761696,95.2,C[C@H](NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1)C(F)(F)F
138,CHEMBL1761700,74.4,CC(C)[C@H](CO)NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1
139,CHEMBL1761702,63.9,CC(C)(CO)CNCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1
140,CHEMBL1766811,0.7,O=C(Nc1ccc(C2CCN(C(=O)[C@H]3CC[C@H](C(=O)O)CC3)CC2)cc1)c1nc(-c2ccccc2)oc1C(F)(F)F
141,CHEMBL1770168,96.7,O=C(O)c1cn(Cc2ccc3ccccc3c2)c2cccc(F)c2c1=O
142,CHEMBL1770750,89.0,CN1CCN(c2ccc(-c3ccc4c(c3)CCNC4)cc2C(F)(F)F)CC1
143,CHEMBL1770752,90.2,Cc1cccc(Nc2ccc(-c3ccc(N4CCNCC4)nc3)cc2)n1
144,CHEMBL1771697,72.5,O=C1Cc2cc(Cn3cc(C(=O)O)c(=O)c4c(F)cccc43)ccc2N1
